compound_id,canonical_flavor,flavor_group
16754,floral,floral
9550,meat,meaty
20067,peanut,nutty
16171,nut,nutty
13460,nut,nutty
3172,meat,meaty
14096,soape,soapy
14096,muste,earthy
14096,citru,citrus
14096,green,green
839,sweet,balsamic
839,cream,fatty
839,vanilla,balsamic
14887,tobacco,tobacco
14887,spice,spicy
1088,muste,earthy
1088,sour,fatty
1088,fat,fatty
1088,vegetable,vegetable
1088,cheese,fatty
19947,floral,floral
19947,green,green
19947,fruit,fruity
19947,plum,fruity
8099,sweet,balsamic
8099,muste,earthy
8099,butter,balsamic
15100,woode,woody
15100,nut,nutty
15100,tobacco,tobacco
15100,spice,spicy
14984,hazelnut,nutty
14984,meat,meaty
9648,fish,fishy
802,fat,fatty
802,animal,animal
14847,gardenia,floral
14847,green,green
14847,grapefruit,fruity
14847,woode,woody
15730,cream,fatty
15730,fat,fatty
15730,coconut,fruity
15730,fruit,fruity
9189,fat,fatty
